﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Alison McGovern,Wirral South CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",17028.67,18881.33,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",180183.6,13846.4,0,N/A,0,0,197212.27,28445,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",19498.62,8946.38,N/A,7651.7,N/A,0,27150.32,224362.59,4083
Alison Thewliss,Glasgow Central BC,35496.04,"Standard non-London area budget plus an uplift of £9,586.04 for Covid-related business costs",29088.14,6407.9,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",153616.62,40413.38,0,N/A,0,0,182704.76,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",25272.72,8607.28,N/A,5472.07,N/A,0,30744.79,213449.55,4430
Alistair Burt,North East Bedfordshire CC,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,N/A,211,211,211,1201
Alistair Carmichael,Orkney and Shetland CC,35610,"Standard non-London area budget plus an uplift of £9,700 for Covid-related business costs",26014.54,9595.46,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",158237.21,35792.79,0,N/A,0,0,184251.75,23010,Standard budget for renting a property in the London area,14318.19,8691.81,N/A,7735.54,N/A,0,22053.73,206305.48,1442
Alister Jack,Dumfries and Galloway CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",19719.26,16190.74,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",155199.03,38830.97,0,N/A,0,0,174918.29,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),3714.64,1695.36,N/A,13493.3,N/A,0,17207.94,192126.23,4619
Allan Dorans,"Ayr, Carrick and Cumnock CC",39110,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £3,200",15764.67,23345.33,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",133506.65,60523.35,0,N/A,0,0,149271.32,1546.12,Hotels,1546.12,0,N/A,2310.09,N/A,0,3856.21,153127.53,4740
Alok Sharma,Reading West CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",19297.81,16612.19,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",132584.68,61445.32,0,N/A,0,0,151882.49,0,N/A,0,0,N/A,4168.05,N/A,0,4168.05,156050.54,4014
Alun Cairns,Vale of Glamorgan CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",24504.32,11405.68,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",139789.21,54240.79,0,N/A,0,0,164293.53,23010,Standard budget for renting a property in the London area,19421.97,3588.03,N/A,6734.9,N/A,131.14,26288.01,190581.54,4086
Alyn Smith,Stirling CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",31156.96,10753.04,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",174586.12,19443.88,0,N/A,0,0,205743.08,5194,Hotels,5194,0,N/A,1716.17,N/A,0,6910.17,212653.25,4738
Amanda Milling,Cannock Chase CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",27753.33,8156.67,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",148991.04,45038.96,0,N/A,0,0,176744.37,23010,Standard budget for renting a property in the London area,22424.69,585.31,N/A,1278.15,N/A,0,23702.84,200447.21,4454
Amanda Solloway,Derby North BC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",41201.2,708.8,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",177999.68,16030.32,0,N/A,0,0,219200.88,16629.67,"Standard budget for renting a property in the London area from 27 August 2020, and £2,949.75 in hotel costs",14911.59,1718.08,N/A,7316.32,N/A,0,22227.91,241428.79,4372
Amy Callaghan,East Dunbartonshire CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",27701.09,14208.91,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",112050.8,81979.2,0,N/A,0,0,139751.89,23010,Standard budget for renting a property in the London area,20761.13,2248.87,N/A,1386.22,N/A,0,22147.35,161899.24,4770
Andrea Jenkyns,Morley and Outwood CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",22931.2,12978.8,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",178477.09,15552.91,0,N/A,0,0,201408.29,28445,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",16065.57,12379.43,N/A,3100.69,N/A,0,19166.26,220574.55,4490
Andrea Leadsom,South Northamptonshire CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",30879.35,5030.65,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",172511.31,21518.69,0,N/A,0,0,203390.66,0,N/A,0,0,N/A,1974.44,N/A,0,1974.44,205365.1,4117
Andrew Bowie,West Aberdeenshire and Kincardine CC,33310,"Standard non-London area budget plus an uplift of £7,400 for Covid-related business costs",26070.3,7239.7,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",164788.78,29241.22,0,N/A,0,0,190859.08,23010,Standard budget for renting a property in the London area,21499.75,1510.25,N/A,17270.34,N/A,0,38770.09,229629.17,4601
Andrew Bridgen,North West Leicestershire CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",23695.28,12214.72,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",123027.94,71002.06,0,N/A,0,0,146723.22,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",32090.44,1789.56,N/A,2904.1,N/A,2609.56,37604.1,184327.32,4133
Andrew Griffith,Arundel and South Downs CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",35492.12,6417.88,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",164836.78,29193.22,0,N/A,0,0,200328.9,0,N/A,0,0,N/A,2756.84,N/A,0,2756.84,203085.74,4874
Andrew Gwynne,Denton and Reddish BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",21317.26,14592.74,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",155463.6,38566.4,0,N/A,0,0,176780.86,23010,Standard budget for renting a property in the London area,20962.4,2047.6,N/A,1422.4,N/A,0,22384.8,199165.66,1506
Andrew Jones,Harrogate and Knaresborough CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",16143.06,19766.94,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",162303.83,31726.17,0,N/A,0,0,178446.89,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),2909.85,2500.15,N/A,5194.7,N/A,0,8104.55,186551.44,3996
Andrew Lewer,Northampton South BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",29084.68,6825.32,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",179366.33,14663.67,0,N/A,0,0,208451.01,28445,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25052.72,3392.28,N/A,3838.8,N/A,0,28891.52,237342.53,4659
Andrew Mitchell,Sutton Coldfield BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",25193.72,10716.28,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",145477.16,48552.84,0,N/A,0,0,170670.88,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),3597.2,1812.8,N/A,3593.05,N/A,3414,10604.25,181275.13,1211
Andrew Murrison,South West Wiltshire CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",18251.75,17658.25,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",112906.4,81123.6,0,N/A,0,0,131158.15,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4588.36,821.64,N/A,2225.4,N/A,0,6813.76,137971.91,1466
Andrew Percy,Brigg and Goole CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",24631.58,11278.42,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",144795.45,49234.55,0,N/A,0,0,169427.03,23010,Standard budget for renting a property in the London area,21857.38,1152.62,N/A,4979,N/A,0,26836.38,196263.41,3939
Andrew Rosindell,Romford BC,38200,"Standard London area budget plus an uplift of £9,400 for Covid-related business costs",35584.13,2615.87,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",203796.24,3333.76,0,N/A,0,0,239380.37,0,N/A,0,0,N/A,585.57,N/A,0,585.57,239965.94,1447
Andrew Selous,South West Bedfordshire CC,34910,"Standard non-London area budget plus an uplift of £9,000 for Covid-related business costs",14031.61,20878.39,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",177928.99,16101.01,0,N/A,0,0,191960.6,2335.1,Hotels,2335.1,0,N/A,3287.05,N/A,0,5622.15,197582.75,1453
Andrew Stephenson,Pendle BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",24726.53,11183.47,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",162732.58,31297.42,0,N/A,0,0,187459.11,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5410,0,N/A,4082.15,N/A,0,9492.15,196951.26,4044
Andy Carter,Warrington South BC,32510,"Standard non-London area budget plus an uplift of £6,600 for Covid-related business costs",31118.05,1391.95,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",176044.4,17985.6,0,N/A,0,0,207162.45,28445,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",23633.98,4811.02,N/A,5772.16,N/A,0,29406.14,236568.59,4791
Andy McDonald,Middlesbrough BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",21896.53,14013.47,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",152269.56,41760.44,0,N/A,0,0,174166.09,28445,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",20991.69,7453.31,N/A,2313.95,N/A,0,23305.64,197471.73,4269
Andy Slaughter,Hammersmith BC,38800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs",26638.76,12161.24,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",204725.58,2404.42,0,N/A,0,0,231364.34,0,N/A,0,0,N/A,976,N/A,0,976,232340.34,1516
Angela Crawley,Lanark and Hamilton East CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",18012.95,17897.05,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",175903.08,18126.92,0,N/A,0,0,193916.03,13301.67,Standard budget for renting a property in the London area from 2 September 2020,12645.36,656.31,N/A,569.43,N/A,170,13384.79,207300.82,4469
Angela Eagle,Wallasey BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",26683.25,9226.75,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",161489.05,32540.95,0,N/A,0,0,188172.3,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5409.64,0.36,N/A,1705.5,N/A,0,7115.14,195287.44,491
Angela Rayner,Ashton-under-Lyne BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",18100.91,17809.09,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",137015.88,57014.12,0,N/A,0,0,155116.79,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",30037.9,3842.1,N/A,5731,N/A,348,36116.9,191233.69,4356
Angela Richardson,Guildford CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",21728.81,20181.19,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",147689.2,46340.8,0,N/A,0,0,169418.01,23010,Standard budget for renting a property in the London area,22931.29,78.71,N/A,52.95,N/A,0,22984.24,192402.25,4840
Angus MacNeil,Na h-Eileanan an Iar CC,35597.12,"Standard non-London area budget plus an uplift of £9,687.12 for Covid-related business costs",23141.01,12456.11,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",149025.39,45004.61,0,N/A,0,0,172166.4,895,Hotels,895,0,N/A,2430.93,N/A,0,3325.93,175492.33,1546
Ann Clwyd,Cynon Valley CC,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,N/A,27103.94,27103.94,27103.94,553
Anna McMorrin,Cardiff North BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",25832.71,10077.29,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",178906.61,15123.39,0,N/A,0,0,204739.32,28445,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",26811.95,1633.05,N/A,3346.7,N/A,904.27,31062.92,235802.24,4632
Anna Turley,Redcar BC,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,N/A,308,308,308,4449
Anne McLaughlin,Glasgow North East BC,39810,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £3,900",33510.7,6299.3,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",173119.67,20910.33,0,N/A,0,0,206630.37,13714.71,"Standard budget for renting a property in the London area for seven months, and £350 in hotel costs",13714.71,0,N/A,2134.54,N/A,0,15849.25,222479.62,4437
Anne Morris,Newton Abbot CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",29870.84,6039.16,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",181249.53,12780.47,0,N/A,0,0,211120.37,23010,Standard budget for renting a property in the London area,23010,0,N/A,5048.09,N/A,1.19,28059.28,239179.65,4249
Anneliese Dodds,Oxford East BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",24611.86,11298.14,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",179332.98,14697.02,0,N/A,0,0,203944.84,12986.47,Standard budget for renting a property in the London area from 7 September 2020,10181.86,2804.61,N/A,3129.66,N/A,0,13311.52,217256.36,4657
Anne-Marie Trevelyan,Berwick-upon-Tweed CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",28044.8,7865.2,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",159181.03,34848.97,0,N/A,0,0,187225.83,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",23948.19,9931.81,N/A,9508.93,N/A,0,33457.12,220682.95,4531
Anthony Browne,South Cambridgeshire CC,33695.65,"Standard non-London area budget plus an uplift of £7,785.65 for Covid-related business costs",26430.41,7265.24,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",182485.17,11544.83,0,N/A,0,0,208915.58,17525.01,"Standard budget for renting a property outside the London area from 7 August 2020, with an uplift to cover the cost of two dependants",17525.01,0,N/A,3155.2,N/A,342,21022.21,229937.79,4801
Anthony Mangnall,Totnes CC,39110,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £3,200",23088.3,16021.7,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",160174.96,33855.04,0,N/A,0,0,183263.26,23010,Standard budget for renting a property in the London area,17373.26,5636.74,N/A,5212.86,N/A,0,22586.12,205849.38,4762
Antoinette Sandbach,Eddisbury CC,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,N/A,0,0,N/A,1247.5,N/A,1216.61,2464.11,2464.11,4506
Antony Higginbotham,Burnley BC,38210,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £2,300",28445.65,9764.35,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",172144.12,21885.88,0,N/A,0,0,200589.77,22346.2,"Standard budget for renting a property in the London area until 20 February 2021, and £1,794.80 in hotel costs",18931.78,3414.42,N/A,3909.31,N/A,0,22841.09,223430.86,4833
Apsana Begum,Poplar and Limehouse BC,44800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",29019.47,15780.53,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",163739.62,43390.38,0,N/A,0,0,192759.09,0,N/A,0,0,N/A,0,N/A,0,0,192759.09,4790
Bambos Charalambous,"Enfield, Southgate BC",38800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs",35773.43,3026.57,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",191433.22,15696.78,0,N/A,0,0,227206.65,0,N/A,0,0,N/A,52,N/A,0,52,227258.65,4610
Barbara Keeley,Worsley and Eccles South CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",20348.59,15561.41,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",180060.9,13969.1,0,N/A,0,0,200409.49,0,N/A,0,0,N/A,75,N/A,0,75,200484.49,1588
Barry Gardiner,Brent North BC,38800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs",19069.21,19730.79,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",200492.34,6637.66,0,N/A,0,0,219561.55,0,N/A,0,0,N/A,476.5,N/A,0,476.5,220038.05,146
Barry Sheerman,Huddersfield BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",22050.98,13859.02,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",177464.47,16565.53,0,N/A,0,0,199515.45,16120,Standard budget for renting a property outside the London area,13519.12,2600.88,N/A,517.2,N/A,1404,15440.32,214955.77,411
Bell Ribeiro-Addy,Streatham BC,37453.2,"Standard London area budget plus an uplift of £8,653.20 for Covid-related business costs",33267.49,4185.71,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",199274.15,7855.85,0,N/A,0,0,232541.64,0,N/A,0,0,N/A,84.8,N/A,0,84.8,232626.44,4764
Ben Bradley,Mansfield CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",22505.68,13404.32,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",156532.42,37497.58,0,N/A,0,0,179038.1,31373.81,"Standard budget for renting a property in the London area until 4 March 2021, with an uplift to cover the cost of two dependants",29837.66,1536.15,N/A,3423.57,N/A,0,33261.23,212299.33,4663
Ben Bradshaw,Exeter BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",16715.88,19194.12,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",138070.43,55959.57,0,N/A,0,0,154786.31,16120,Standard budget for renting a property outside the London area,13933.41,2186.59,N/A,747.4,N/A,0,14680.81,169467.12,230
Ben Everitt,Milton Keynes North CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",26481.47,15428.53,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",178957.48,15072.52,0,N/A,0,0,205438.95,39315,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",37352.04,1962.96,N/A,3073.35,N/A,0,40425.39,245864.34,4836
Ben Lake,Ceredigion CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",17921.93,17988.07,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",148572.62,45457.38,0,N/A,0,0,166494.55,0,N/A,0,0,N/A,1447.05,N/A,0,1447.05,167941.6,4630
